Round,Alice_Fame,Alice_Might,Alice_Food,Alice_Wood,Alice_Ore,Alice_Gold,Alice_Champions,Alice_Boats,Alice_TotalItems,Alice_TotalFollowers,Alice_ChampionVsChampionWins,Alice_ChampionVsChampionLosses,Alice_ChampionVsMonsterWins,Alice_ChampionVsMonsterLosses,Alice_DragonEncounters,Alice_MarketInteractions,Alice_BlacksmithInteractions,Alice_TraderInteractions,Alice_TempleInteractions,Alice_MercenaryInteractions,Alice_ChampionActions,Alice_BoatActions,Alice_HarvestActions,Alice_BuildActions,Alice_AdventureCards,Alice_ClaimedTiles,Alice_StarredTiles,Alice_TotalResourcesFromTiles,Alice_HasBlacksmith,Alice_HasMarket,Alice_HasChapel,Alice_HasMonastery,Alice_HasWarshipUpgrade,Bob_Fame,Bob_Might,Bob_Food,Bob_Wood,Bob_Ore,Bob_Gold,Bob_Champions,Bob_Boats,Bob_TotalItems,Bob_TotalFollowers,Bob_ChampionVsChampionWins,Bob_ChampionVsChampionLosses,Bob_ChampionVsMonsterWins,Bob_ChampionVsMonsterLosses,Bob_DragonEncounters,Bob_MarketInteractions,Bob_BlacksmithInteractions,Bob_TraderInteractions,Bob_TempleInteractions,Bob_MercenaryInteractions,Bob_ChampionActions,Bob_BoatActions,Bob_HarvestActions,Bob_BuildActions,Bob_AdventureCards,Bob_ClaimedTiles,Bob_StarredTiles,Bob_TotalResourcesFromTiles,Bob_HasBlacksmith,Bob_HasMarket,Bob_HasChapel,Bob_HasMonastery,Bob_HasWarshipUpgrade,Charlie_Fame,Charlie_Might,Charlie_Food,Charlie_Wood,Charlie_Ore,Charlie_Gold,Charlie_Champions,Charlie_Boats,Charlie_TotalItems,Charlie_TotalFollowers,Charlie_ChampionVsChampionWins,Charlie_ChampionVsChampionLosses,Charlie_ChampionVsMonsterWins,Charlie_ChampionVsMonsterLosses,Charlie_DragonEncounters,Charlie_MarketInteractions,Charlie_BlacksmithInteractions,Charlie_TraderInteractions,Charlie_TempleInteractions,Charlie_MercenaryInteractions,Charlie_ChampionActions,Charlie_BoatActions,Charlie_HarvestActions,Charlie_BuildActions,Charlie_AdventureCards,Charlie_ClaimedTiles,Charlie_StarredTiles,Charlie_TotalResourcesFromTiles,Charlie_HasBlacksmith,Charlie_HasMarket,Charlie_HasChapel,Charlie_HasMonastery,Charlie_HasWarshipUpgrade,Diana_Fame,Diana_Might,Diana_Food,Diana_Wood,Diana_Ore,Diana_Gold,Diana_Champions,Diana_Boats,Diana_TotalItems,Diana_TotalFollowers,Diana_ChampionVsChampionWins,Diana_ChampionVsChampionLosses,Diana_ChampionVsMonsterWins,Diana_ChampionVsMonsterLosses,Diana_DragonEncounters,Diana_MarketInteractions,Diana_BlacksmithInteractions,Diana_TraderInteractions,Diana_TempleInteractions,Diana_MercenaryInteractions,Diana_ChampionActions,Diana_BoatActions,Diana_HarvestActions,Diana_BuildActions,Diana_AdventureCards,Diana_ClaimedTiles,Diana_StarredTiles,Diana_TotalResourcesFromTiles,Diana_HasBlacksmith,Diana_HasMarket,Diana_HasChapel,Diana_HasMonastery,Diana_HasWarshipUpgrade
1,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,false,false,false,false,false,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,false,false,false,false,false,0,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,false,false,false,false,false,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,false,false,false,false,false
2,1,0,3,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,3,1,5,false,false,false,false,false,0,0,1,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,3,false,false,false,false,false,1,0,5,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,2,1,4,false,false,false,false,false,0,0,2,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,1,0,2,false,false,false,false,false
3,1,0,3,1,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,4,1,6,false,false,false,false,false,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,0,0,2,0,3,false,false,false,false,false,1,0,7,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,2,2,1,4,false,false,false,false,false,0,0,3,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,1,2,0,3,false,false,false,false,false
4,1,0,3,2,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,1,0,4,1,6,false,false,false,false,false,0,1,3,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,3,0,0,3,0,4,false,false,false,false,false,2,0,9,5,3,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,0,3,2,1,4,false,false,false,false,false,1,0,5,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,4,1,1,2,0,3,false,true,false,false,false
5,1,0,4,3,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,1,0,5,1,7,false,false,false,false,false,1,1,6,2,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,5,0,4,0,0,3,0,4,false,false,false,false,false,5,0,11,0,4,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,5,1,3,2,1,4,false,false,true,false,false,1,0,6,3,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,5,1,1,3,0,4,false,true,false,false,false
6,1,0,2,3,1,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,6,0,5,2,1,6,1,8,false,false,false,false,false,1,2,5,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,6,0,5,1,0,3,0,4,false,true,false,false,false,6,0,11,0,5,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,5,0,6,2,3,3,1,5,false,true,true,false,false,1,0,4,4,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,6,0,6,1,1,3,0,4,false,true,false,false,false
7,2,0,4,6,1,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,7,0,6,2,1,6,1,8,false,false,false,false,false,1,2,0,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,2,7,0,6,2,1,3,0,4,false,true,false,false,false,7,0,8,4,5,0,2,1,0,0,2,0,2,0,0,0,0,0,0,0,6,0,7,3,3,4,1,6,false,true,true,false,false,1,0,4,2,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,7,0,6,1,1,3,0,4,false,true,false,false,false
8,3,0,2,5,3,1,3,1,0,0,0,0,2,1,0,0,0,0,0,0,8,0,7,3,2,6,1,8,false,true,false,false,false,2,2,2,1,2,1,2,1,0,0,0,0,2,1,0,0,0,0,0,2,8,0,7,2,2,3,0,4,false,true,false,false,false,13,0,5,0,0,0,2,1,0,0,2,0,3,0,0,0,0,0,0,0,8,0,8,4,4,5,1,7,false,true,false,true,false,1,0,2,2,0,3,1,1,0,0,0,2,1,1,0,0,0,0,0,0,8,0,6,1,1,3,0,4,false,true,false,false,false
9,7,0,5,0,3,0,3,1,0,0,0,0,3,1,0,0,0,0,0,0,9,0,8,4,2,7,2,10,false,true,true,false,false,1,3,2,2,0,2,2,1,0,0,0,0,3,1,0,0,0,0,1,2,10,0,8,3,3,3,0,4,true,true,false,false,false,15,0,2,0,1,0,2,1,0,0,2,0,3,0,0,0,0,0,0,0,10,0,9,4,4,6,2,9,false,true,false,true,false,2,0,5,3,0,3,1,1,0,0,0,2,1,1,0,0,0,0,0,0,9,0,7,1,2,3,0,4,false,true,false,false,false
10,7,0,3,1,4,1,3,1,0,0,0,0,3,1,0,0,0,0,0,0,9,0,9,5,2,7,2,10,true,true,true,false,false,0,4,1,2,0,2,2,1,0,0,0,0,3,1,0,0,0,0,2,2,12,0,9,3,4,3,0,4,true,true,false,false,false,16,0,2,2,1,0,2,1,0,0,2,0,3,1,0,0,0,0,0,0,12,0,10,4,5,6,2,9,false,true,false,true,false,2,0,4,5,0,0,2,1,0,0,0,2,1,1,0,0,0,0,0,0,10,0,8,2,2,4,0,5,false,true,false,false,false
