Round,Sam_Fame,Sam_Might,Sam_Food,Sam_Wood,Sam_Ore,Sam_Gold,Sam_Champions,Sam_Boats,Sam_TotalItems,Sam_TotalFollowers,Sam_ChampionVsChampionWins,Sam_ChampionVsChampionLosses,Sam_ChampionVsMonsterWins,Sam_ChampionVsMonsterLosses,Sam_DragonEncounters,Sam_MarketInteractions,Sam_BlacksmithInteractions,Sam_TraderInteractions,Sam_TempleInteractions,Sam_MercenaryInteractions,Sam_ChampionActions,Sam_BoatActions,Sam_HarvestActions,Sam_BuildActions,Sam_AdventureCards,Sam_ClaimedTiles,Sam_StarredTiles,Sam_TotalResourcesFromTiles,Sam_HasBlacksmith,Sam_HasMarket,Sam_HasChapel,Sam_HasMonastery,Sam_HasWarshipUpgrade,Sarah_Fame,Sarah_Might,Sarah_Food,Sarah_Wood,Sarah_Ore,Sarah_Gold,Sarah_Champions,Sarah_Boats,Sarah_TotalItems,Sarah_TotalFollowers,Sarah_ChampionVsChampionWins,Sarah_ChampionVsChampionLosses,Sarah_ChampionVsMonsterWins,Sarah_ChampionVsMonsterLosses,Sarah_DragonEncounters,Sarah_MarketInteractions,Sarah_BlacksmithInteractions,Sarah_TraderInteractions,Sarah_TempleInteractions,Sarah_MercenaryInteractions,Sarah_ChampionActions,Sarah_BoatActions,Sarah_HarvestActions,Sarah_BuildActions,Sarah_AdventureCards,Sarah_ClaimedTiles,Sarah_StarredTiles,Sarah_TotalResourcesFromTiles,Sarah_HasBlacksmith,Sarah_HasMarket,Sarah_HasChapel,Sarah_HasMonastery,Sarah_HasWarshipUpgrade,Oliver_Fame,Oliver_Might,Oliver_Food,Oliver_Wood,Oliver_Ore,Oliver_Gold,Oliver_Champions,Oliver_Boats,Oliver_TotalItems,Oliver_TotalFollowers,Oliver_ChampionVsChampionWins,Oliver_ChampionVsChampionLosses,Oliver_ChampionVsMonsterWins,Oliver_ChampionVsMonsterLosses,Oliver_DragonEncounters,Oliver_MarketInteractions,Oliver_BlacksmithInteractions,Oliver_TraderInteractions,Oliver_TempleInteractions,Oliver_MercenaryInteractions,Oliver_ChampionActions,Oliver_BoatActions,Oliver_HarvestActions,Oliver_BuildActions,Oliver_AdventureCards,Oliver_ClaimedTiles,Oliver_StarredTiles,Oliver_TotalResourcesFromTiles,Oliver_HasBlacksmith,Oliver_HasMarket,Oliver_HasChapel,Oliver_HasMonastery,Oliver_HasWarshipUpgrade,Fabian_Fame,Fabian_Might,Fabian_Food,Fabian_Wood,Fabian_Ore,Fabian_Gold,Fabian_Champions,Fabian_Boats,Fabian_TotalItems,Fabian_TotalFollowers,Fabian_ChampionVsChampionWins,Fabian_ChampionVsChampionLosses,Fabian_ChampionVsMonsterWins,Fabian_ChampionVsMonsterLosses,Fabian_DragonEncounters,Fabian_MarketInteractions,Fabian_BlacksmithInteractions,Fabian_TraderInteractions,Fabian_TempleInteractions,Fabian_MercenaryInteractions,Fabian_ChampionActions,Fabian_BoatActions,Fabian_HarvestActions,Fabian_BuildActions,Fabian_AdventureCards,Fabian_ClaimedTiles,Fabian_StarredTiles,Fabian_TotalResourcesFromTiles,Fabian_HasBlacksmith,Fabian_HasMarket,Fabian_HasChapel,Fabian_HasMonastery,Fabian_HasWarshipUpgrade
1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,false,false,false,false,false,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,false,false,false,false,false,0,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,false,false,false,false,false,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,false,false,false,false,false
2,2,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,2,false,false,false,false,false,0,0,1,3,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,2,0,3,false,false,false,false,false,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,4,false,true,false,false,false,0,0,2,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,2,0,3,false,false,false,false,false
3,2,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,3,false,false,false,false,false,1,0,3,3,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,3,1,5,false,true,false,false,false,0,0,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,4,0,5,false,true,false,false,false,0,0,3,2,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,3,0,4,false,false,false,false,false
4,4,0,2,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,1,2,0,3,false,false,false,false,false,3,0,1,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,4,2,0,3,1,5,false,true,false,false,false,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,5,0,6,false,true,false,false,false,1,0,3,3,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,4,1,0,3,0,4,false,false,false,false,false
5,5,0,2,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,1,2,0,3,false,false,false,false,false,3,0,3,1,2,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,5,0,5,2,1,3,1,5,false,true,false,false,false,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0,6,0,7,false,true,false,false,false,3,0,6,2,0,2,2,1,0,0,0,0,3,1,0,0,0,0,0,0,5,1,5,2,0,4,1,6,false,true,false,false,false
6,5,0,2,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,6,0,2,0,1,2,0,3,false,false,false,false,false,3,0,2,2,3,1,2,1,1,0,0,0,1,2,0,0,0,0,0,0,6,0,6,2,1,3,1,5,false,true,false,false,false,0,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,2,0,8,0,9,false,true,false,false,false,3,0,3,2,0,2,2,1,0,0,0,0,3,2,0,0,0,0,0,0,7,1,5,2,0,5,1,7,false,true,false,false,false
7,5,0,3,1,1,1,1,1,2,0,0,0,0,2,0,0,0,1,0,0,7,0,3,0,1,2,0,3,false,false,false,false,false,3,0,2,2,3,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,7,0,7,3,1,4,1,6,false,true,false,false,false,0,0,4,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,8,0,9,false,true,false,false,false,5,0,3,4,0,1,2,1,0,0,0,0,4,2,0,0,0,0,0,0,8,2,6,3,1,6,1,8,false,true,false,false,false
8,6,0,4,0,4,1,1,1,2,0,0,0,1,2,0,0,0,1,0,0,8,0,4,1,1,3,1,5,false,true,false,false,false,3,1,2,1,1,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,7,0,8,4,1,4,1,6,true,true,false,false,false,0,1,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,3,0,8,0,9,false,true,false,false,false,5,1,3,1,0,1,2,1,0,0,0,0,4,3,0,0,0,0,0,0,9,2,7,3,1,6,1,8,false,true,false,false,false
9,4,0,2,1,1,0,2,1,2,0,0,0,1,2,0,0,0,1,0,0,8,0,5,2,1,3,1,5,false,true,false,false,false,4,1,3,0,4,1,2,1,1,0,0,0,2,2,0,0,0,0,0,0,8,0,9,4,2,4,1,6,true,true,false,false,false,2,2,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,3,0,8,0,9,false,true,false,false,false,6,2,2,0,0,0,2,1,0,0,0,0,4,3,0,0,0,0,0,0,11,2,8,3,1,7,1,9,false,true,false,false,false
10,4,0,0,1,0,0,2,1,3,0,0,0,1,3,0,0,0,1,0,0,10,0,5,2,2,3,1,5,false,true,false,false,false,4,1,2,1,4,1,2,1,1,0,0,0,2,3,0,0,0,0,0,0,10,0,10,4,3,4,1,6,true,true,false,false,false,6,2,5,1,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,11,1,10,3,1,9,1,11,false,true,false,false,false,5,0,3,1,0,0,2,1,0,0,0,0,4,4,0,0,0,0,0,0,12,2,9,3,1,7,1,9,false,true,false,false,false
